X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.0034042135851792958,72.4992682636262,0.7323121252167808
2.0,2.0,train,0.0034692618897551744,78.34822778011593,0.7389692149322633
3.0,3.0,train,0.0019884213931167963,14.830302158264073,0.5369002774477096
4.0,4.0,train,0.002091184125561059,17.961636202053654,0.5549627200067051
5.0,5.0,train,0.0038685740073216937,98.73710029224027,0.7763582226011616
6.0,6.0,train,0.0034411039976771415,75.23871594055406,0.7361080826534598
7.0,7.0,train,0.0019261447474234134,13.53122154733044,0.5255991319267719
8.0,8.0,train,0.0029829461425871793,46.64678355326873,0.6848923277152756
9.0,9.0,train,0.0029829461425871793,46.64678355326873,0.6848923277152756
10.0,10.0,train,0.0025214911546213377,31.94383095794486,0.6232560960945099
11.0,11.0,train,0.0029829461425871793,46.64678355326873,0.6848923277152756
12.0,12.0,train,0.0026242240788916142,35.796265277318675,0.6379461939247675
13.0,13.0,train,0.003341519841703522,66.76065473778077,0.7257353826606119
14.0,14.0,train,0.003282813018221095,62.77992773646417,0.7194304591887173
15.0,15.0,train,0.0033760611392432372,69.78529016585803,0.7293785958401136
16.0,16.0,train,0.0033760611392432372,69.78529016585803,0.7293785958401136
17.0,17.0,train,0.003054239181233599,49.65633120763342,0.6934706657943321
18.0,18.0,train,0.0037162339021869955,96.82964160690331,0.7627715283045373
19.0,19.0,train,0.002442716560984129,27.73535643369272,0.6115893861451931
20.0,20.0,train,0.0023586369807354806,24.366343077836312,0.5987381192621989
21.0,21.0,train,0.0013979820012270507,6.315711413893868,0.41796551687473515
22.0,22.0,train,0.003311513886511113,63.772407434398495,0.7225307447823017
23.0,23.0,train,0.0026914576024474088,37.93198644280833,0.6472486107359676
24.0,24.0,train,0.001979177060099602,14.312261117527466,0.5352399099423404
25.0,25.0,train,0.002642590378772679,36.06047112566392,0.6405114363950568
26.0,26.0,train,0.002727857361557812,40.645536705236466,0.6521847512735713
27.0,27.0,train,0.002727857361557812,40.645536705236466,0.6521847512735713
28.0,28.0,train,0.0032643006486128396,60.48369312029601,0.717412387917052
29.0,29.0,train,0.0020992950788525006,18.200153964447114,0.5563580063284194
30.0,30.0,train,0.0018176058200151028,11.276860274703324,0.5052397613596029
31.0,31.0,train,0.0018176058200151028,11.276860274703324,0.5052397613596029
32.0,32.0,train,0.0018176058200151028,11.276860274703324,0.5052397613596029
33.0,33.0,train,0.0034908505126928125,81.48186977492723,0.7411418148483739
34.0,34.0,train,0.0034908505126928125,81.48186977492723,0.7411418148483739
35.0,35.0,train,0.0019261447474234134,13.53122154733044,0.5255991319267719
36.0,36.0,train,3.730266658495948E-4,1.7920122298895313,0.1344727616774989
37.0,37.0,train,0.0033540403202306506,67.76620486502257,0.7270616018306512
38.0,38.0,train,4.2044139583756934E-4,2.0251310212832103,0.15021588117082307
39.0,39.0,train,0.001721574005571222,10.198425017885148,0.4864991012812724
40.0,40.0,train,0.0026167979125367308,35.53369094619809,0.6369037829345543
41.0,41.0,train,0.002552800647047531,33.71945116291393,0.6277951937731071
42.0,42.0,train,0.0036645462588285557,94.61169860317621,0.7579765924012727
43.0,43.0,train,0.002719899673800772,40.10086701792645,0.6511115494321886
44.0,44.0,train,0.0015639872978190912,7.068207666609195,0.45419535505248354
45.0,45.0,train,0.0015639872978190912,7.068207666609195,0.45419535505248354
46.0,46.0,train,0.001809089879966112,11.095185915563968,0.5036058810518637
47.0,47.0,train,0.002442716560984129,27.73535643369272,0.6115893861451931
48.0,48.0,train,0.002719899673800772,40.10086701792645,0.6511115494321886
49.0,49.0,train,0.002060625104831034,16.53405292780893,0.5496662790688374
50.0,50.0,train,0.002442716560984129,27.73535643369272,0.6115893861451931
51.0,51.0,train,0.00235392068769192,23.896179348770907,0.5980047850042906
52.0,52.0,train,0.0032029967385338617,54.99728427934854,0.7106253241956919
53.0,53.0,train,0.003361490118787839,68.77520907943496,0.7278476691950947
54.0,54.0,train,0.002259935499570099,19.947122352395237,0.5831083568430218
55.0,55.0,train,0.0018985428104576984,12.764266249450626,0.5205024881518481
56.0,56.0,train,0.0022936251875211597,20.858943730437733,0.5885105208725919
57.0,57.0,train,0.002430104595013035,26.762254960390344,0.6096882583482578
58.0,58.0,train,0.003523856277720299,84.64145176720488,0.7444284891331374
59.0,59.0,train,0.0033017136302278473,63.44034040487695,0.7214759859083136
60.0,60.0,train,0.0032169552676826387,56.6004838884729,0.7121848909871691
61.0,61.0,train,0.00331575261477215,65.09700564337318,0.7229857023447338
62.0,62.0,train,0.0021356798647726803,18.835774605776546,0.562563466631765
63.0,63.0,train,0.0033017136302278473,63.44034040487695,0.7214759859083136
64.0,64.0,train,0.0035950583680098474,92.43750930029412,0.7513772897337876
65.0,65.0,train,0.0035387735853051132,87.82004542491345,0.7459002124036834
66.0,66.0,train,0.0020584877110414977,16.122459025838374,0.5492934794602794
67.0,67.0,train,0.0037162339021869955,96.82964160690331,0.7627715283045373
68.0,68.0,train,0.0034411039976771415,75.23871594055406,0.7361080826534598
69.0,69.0,train,0.0026620854088489124,36.59168890386903,0.6432144476067063
70.0,70.0,train,0.0024939542322022098,30.69207689315909,0.6192181975323855
71.0,71.0,train,0.003503536595988468,82.18011033780056,0.7424100510330816
72.0,72.0,train,0.002552800647047531,33.71945116291393,0.6277951937731071
73.0,73.0,train,0.0023586369807354806,24.366343077836312,0.5987381192621989
74.0,74.0,train,0.003546566593980003,88.88216145763379,0.7466656877725468
75.0,75.0,train,0.003051965007280546,49.35093939149857,0.693200665859157
76.0,76.0,train,0.0030954130987996247,50.27182927665081,0.6983181249281212
77.0,77.0,train,0.003431602530783667,74.55033385491559,0.7351355761813327
78.0,78.0,train,0.003617036647354241,93.51833301712207,0.7534838062160809
79.0,79.0,train,0.0018176058200151028,11.276860274703324,0.5052397613596029
80.0,80.0,train,4.07724936071697E-4,1.9626096734192613,0.14602195234123805
81.0,81.0,train,0.003546566593980003,88.88216145763379,0.7466656877725468
82.0,82.0,train,0.0034651015802695958,78.00064330371838,0.738548445771146
83.0,83.0,train,0.0034411039976771415,75.23871594055406,0.7361080826534598
84.0,84.0,train,0.00348404820015673,80.78234705513792,0.7404592134019676
85.0,85.0,train,0.0024975242803091592,31.190317663691715,0.6197441262658956
86.0,86.0,train,0.0025321317186855906,32.95381410265284,0.624804889167148
87.0,87.0,train,0.0034213767417001525,73.86440838739291,0.7340849284125099
88.0,88.0,train,0.0032807269572915515,61.13910984484645,0.7192037758341705
89.0,89.0,train,0.003424172246226005,74.20716546467217,0.7343725655107125
90.0,90.0,train,0.0035957290651347468,92.79661163227343,0.7514418384479788
91.0,91.0,train,0.0035957290651347468,92.79661163227343,0.7514418384479788
92.0,92.0,train,0.0033393165131709707,66.42635196219693,0.7255013313798873
93.0,93.0,train,0.00204012423284328,15.788677552883751,0.5460778187520383
94.0,94.0,train,0.0035139117231627348,82.88278054818622,0.7434426392250932
95.0,95.0,train,0.0034411039976771415,75.23871594055406,0.7361080826534598
96.0,96.0,train,0.003361490118787839,68.77520907943496,0.7278476691950947
97.0,97.0,train,0.0033901691081104795,71.13973963187966,0.7308526650790504
98.0,98.0,train,0.0026051148727850573,35.01181058088292,0.6352577563056193
99.0,99.0,train,0.0032029967385338617,54.99728427934854,0.7106253241956919
100.0,100.0,train,0.0033840610330710553,70.46213596689631,0.7302154518546216
101.0,101.0,train,0.003199989290057091,54.6773211512295,0.7102882012523726
102.0,102.0,train,0.0032807269572915515,61.13910984484645,0.7192037758341705
103.0,103.0,train,0.0026051148727850573,35.01181058088292,0.6352577563056193
104.0,104.0,train,0.0033194200036960647,65.42871133032618,0.7233787340790252
105.0,105.0,train,0.0013799987746609423,6.036757270105737,0.41389915746978834
106.0,106.0,train,0.0033194200036960647,65.42871133032618,0.7233787340790252
107.0,107.0,train,0.0024705643119921203,29.69767308243885,0.6157544239767778
108.0,108.0,train,0.0032807269572915515,61.13910984484645,0.7192037758341705
109.0,109.0,train,0.0033194200036960647,65.42871133032618,0.7233787340790252
110.0,110.0,train,0.003349504447984174,67.09640161439795,0.7265818865331515
111.0,111.0,train,0.003217538123090592,56.92401521335019,0.7122498294729978
112.0,112.0,train,0.0033840610330710553,70.46213596689631,0.7302154518546216
113.0,113.0,train,0.0031783808107308338,54.35734474022899,0.7078544007611036
114.0,114.0,train,0.0024705643119921203,29.69767308243885,0.6157544239767778
115.0,115.0,train,0.0032807269572915515,61.13910984484645,0.7192037758341705
116.0,116.0,train,0.0032807269572915515,61.13910984484645,0.7192037758341705
117.0,117.0,train,0.0024887759675959833,30.441343482261743,0.6184540581886817
118.0,118.0,train,0.002672151376120419,37.39427321001769,0.6446021411247798
119.0,119.0,train,0.0032341064038152916,58.86060680371241,0.7140896592893711
120.0,120.0,train,0.0032341064038152916,58.86060680371241,0.7140896592893711
121.0,121.0,train,0.002340812830933636,23.425922033299354,0.5959596041142441
122.0,122.0,train,0.002340812830933636,23.425922033299354,0.5959596041142441
123.0,123.0,train,0.002399364939440942,25.79363356557867,0.6050154912316765
124.0,124.0,train,0.002340812830933636,23.425922033299354,0.5959596041142441
125.0,125.0,train,0.003204997843760956,55.63773993759462,0.7108494227049162
126.0,126.0,train,0.0020584877110414977,16.122459025838374,0.5492934794602794
127.0,127.0,train,0.00222638387415329,19.657277610555965,0.5776578465399553
128.0,128.0,train,0.0027062547706793658,39.013675965776955,0.6492636369773823
129.0,129.0,train,0.0028479458468706168,43.43805593442655,0.6679852294035936
130.0,130.0,train,0.002445916602631905,28.467970738074058,0.6120702857980964
131.0,131.0,train,0.0024551762423988322,29.203759868998432,0.6134584654299027
132.0,132.0,train,0.002903857212806375,44.59437342464906,0.6750947834985019
133.0,133.0,train,0.002399364939440942,25.79363356557867,0.6050154912316765
134.0,134.0,train,0.002521959255848758,32.1950076446683,0.6233243650721787
135.0,135.0,train,9.988390386034716E-4,4.551632572643507,0.3207039818533245
136.0,136.0,train,0.002340812830933636,23.425922033299354,0.5959596041142441
137.0,137.0,train,0.0027772957855716385,41.47264630472012,0.6587786217199512
138.0,138.0,train,0.003162352156487469,53.405668292457385,0.706035867110889
139.0,139.0,train,0.00352514270777108,84.99633572987489,0.7445557418933296
140.0,140.0,train,0.003547110893517637,91.01155340362308,0.746719065854134
141.0,141.0,train,0.0035446365667843064,88.17408526410222,0.7464763241969004
142.0,142.0,train,0.003533779759483897,86.7587562127252,0.7454084737826707
143.0,143.0,train,0.003411954354158363,73.18162690561836,0.7331131370917936
144.0,144.0,train,0.00352514270777108,84.99633572987489,0.7445557418933296
145.0,145.0,train,0.003460173433996406,76.96269007044532,0.7380491407647112
146.0,146.0,train,0.0016305962610898292,8.350909217969926,0.46809036895700384
147.0,147.0,train,6.764064524214992E-5,0.34297486970282837,0.0258470194810565
148.0,148.0,train,0.002340812830933636,23.425922033299354,0.5959596041142441
149.0,149.0,train,0.0033127491921747356,64.10242822767009,0.7226634115636752
150.0,150.0,train,0.003641069965239122,94.24530139390484,0.7557668647904847
151.0,151.0,train,0.0033127491921747356,64.10242822767009,0.7226634115636752
152.0,152.0,train,0.0037162339021869955,96.82964160690331,0.7627715283045373
153.0,153.0,train,0.0033127491921747356,64.10242822767009,0.7226634115636752
154.0,154.0,train,0.0035173908569872147,83.58567191859059,0.7437879736708827
155.0,155.0,train,0.0017016551853716905,9.861865057216557,0.48252391788584814
156.0,156.0,train,0.0016920304498545058,9.352634003836208,0.48059210433939803
157.0,157.0,train,0.002765096515355516,41.19496126698969,0.657163248814796
158.0,158.0,train,0.0027776141211447785,42.028496732306806,0.6588206722409802
159.0,159.0,train,0.002693226965337117,38.20124085655812,0.6474901644092238
160.0,160.0,train,0.0027776141211447785,42.028496732306806,0.6588206722409802
161.0,161.0,train,0.002340812830933636,23.425922033299354,0.5959596041142441
162.0,162.0,train,5.479532861152078E-4,2.5531910560119453,0.19114764428022246
163.0,163.0,train,0.0031490266470782045,52.45775177846481,0.7045154048897593
164.0,164.0,train,0.0025297455265694668,32.700432152615534,0.62445812043356
165.0,165.0,train,0.0019723611219312383,14.114461286659385,0.5340118930655535
166.0,166.0,train,0.0031705578443549684,54.03911283292433,0.7069682545654121
167.0,167.0,train,0.004106027726831885,99.14769220436273,0.7960008369925151
168.0,168.0,train,0.0029833656406579186,47.53245314284588,0.6849434994826555
169.0,169.0,train,0.001690492094976564,9.014676632991153,0.4802826681170177
170.0,170.0,train,0.0024394558226404784,27.49120286732823,0.6110987518185638
171.0,171.0,train,0.0027187115677980087,39.82930994761361,0.6509510334035629
172.0,172.0,train,0.004212279387338138,99.56892164510312,0.8042221104966564
173.0,173.0,train,0.003259906181693645,60.15719354696549,0.7169312101601584
174.0,174.0,train,0.0027825602650455115,42.3065238774986,0.6594733674841617
175.0,175.0,train,0.0033956093505580843,71.47942525629705,0.7314189406226023
176.0,176.0,train,0.002339449390066479,21.787017537052712,0.5957462738557938
177.0,177.0,train,0.003110028893863056,50.89308514944583,0.7000203628401862
178.0,178.0,train,0.0036280544630149974,93.88132017813888,0.7545330871360538
179.0,179.0,train,0.001690492094976564,9.014676632991153,0.4802826681170177
180.0,180.0,train,0.0021913657759172105,19.05489567950516,0.571893090223335
181.0,181.0,train,0.0025072750578321095,31.690809403810317,0.6211768829562736
182.0,182.0,train,0.0023689066150575575,24.839175872980906,0.6003303153748585
183.0,183.0,train,0.001979177060099602,14.312261117527466,0.5352399099423404
184.0,184.0,train,0.0035074807119364515,82.530992495405,0.7428030793053598
185.0,185.0,train,0.0033956093505580843,71.47942525629705,0.7314189406226023
186.0,186.0,train,0.004310759258532676,99.99999675437944,0.8115458880220161
187.0,187.0,train,0.003475790832651224,79.04213691207063,0.7396281802796133
188.0,188.0,train,0.0035153046007391567,83.23464950797893,0.7435809503368942
189.0,189.0,train,0.003222318285242151,57.24717265785818,0.712781855843366
190.0,190.0,train,0.003032454748345312,49.045895192695426,0.6908745282364288
191.0,191.0,train,0.003227232169859716,58.214715985405874,0.713327740048644
192.0,192.0,train,0.003215881450589365,55.960882959938345,0.7120652139260107
193.0,193.0,train,0.003557580237399737,91.72228111550834,0.7477435821288139
194.0,194.0,train,0.003546566593980003,88.88216145763379,0.7466656877725468
195.0,195.0,train,0.0034534741918543837,76.61616581371881,0.7373688641303979
196.0,196.0,train,0.0028870324954420354,44.014834837655236,0.6729715566944949
197.0,197.0,train,0.003470091546035683,78.69454113537984,0.7390530444420321
198.0,198.0,train,0.0025507811152100457,33.20900964408563,0.6275040689701541
199.0,199.0,train,0.0024479032692604147,28.715172972000282,0.6123685408277
200.0,200.0,train,0.0032353252624878195,59.82748548459028,0.7142245423740102
201.0,201.0,train,0.002271017522893746,20.174206999872503,0.5848931491103007
202.0,202.0,train,0.002271017522893746,20.174206999872503,0.5848931491103007
203.0,203.0,train,0.003546566593980003,88.88216145763379,0.7466656877725468
204.0,204.0,train,0.002317832337671123,21.553104493389835,0.5923488806378479
205.0,205.0,train,0.00292712036030442,45.760480600168044,0.6780078317341751
206.0,206.0,train,0.0036860558107959167,95.71452150982262,0.759983643647872
207.0,207.0,train,0.0035226415606361096,84.29059206019305,0.7443082719796823
208.0,208.0,train,0.0035380244018495045,87.46802851916405,0.7458265014209106
209.0,209.0,train,0.003110028893863056,50.89308514944583,0.7000203628401862
210.0,210.0,train,0.003665532804009772,94.97839317433635,0.7580690128673022
211.0,211.0,train,0.00290523204615456,44.88527928207953,0.6752676727145843
212.0,212.0,train,0.0016019344426479864,7.798948064259901,0.46215524076326264
213.0,213.0,train,0.0029205846283130213,45.467957619294765,0.6771920652784691
214.0,214.0,train,0.00352514270777108,84.99633572987489,0.7445557418933296
215.0,215.0,train,0.003533779759483897,86.7587562127252,0.7454084737826707
216.0,216.0,train,0.0035446365667843064,88.17408526410222,0.7464763241969004
217.0,217.0,train,0.003547110893517637,91.01155340362308,0.746719065854134
218.0,218.0,train,0.003162352156487469,53.405668292457385,0.706035867110889
219.0,219.0,train,0.003411954354158363,73.18162690561836,0.7331131370917936
220.0,220.0,train,0.003460173433996406,76.96269007044532,0.7380491407647112
221.0,221.0,train,0.00352514270777108,84.99633572987489,0.7445557418933296
222.0,222.0,train,0.002430104595013035,26.762254960390344,0.6096882583482578
223.0,223.0,train,0.0026609632078978583,36.32731768549146,0.6430594057450902
224.0,224.0,train,0.0028093161055042686,42.587411820837076,0.6629824941807289
225.0,225.0,train,0.00341043948127881,72.8400875550574,0.732956567476837
226.0,226.0,train,0.003351427411901284,67.43032254601678,0.726785362680104
227.0,227.0,train,0.002429517538165646,26.518112722451114,0.6095995390975245
228.0,228.0,train,0.0035280917767861737,86.40550352146958,0.7448472226711178
229.0,229.0,train,0.003480869085815349,79.73782386672896,0.7401395773250952
230.0,230.0,train,0.003824562323123046,98.3502563827531,0.7725149349411045
231.0,231.0,train,0.003480869085815349,79.73782386672896,0.7401395773250952
232.0,232.0,train,0.00314237932813928,52.14297372452039,0.7037539975736853
233.0,233.0,train,0.002006488005400009,15.507180734591437,0.5401281029083709
234.0,234.0,train,0.003222318285242151,57.24717265785818,0.712781855843366
235.0,235.0,train,0.001924009601044789,13.33840535381,0.5252068219283763
236.0,236.0,train,0.0024483869668572036,28.956862542081463,0.6124411228426101
237.0,237.0,train,0.0037409477625065897,97.20364346937718,0.7650304862527004
238.0,238.0,train,0.0023117916288174904,21.321358469394944,0.5913944129936358
239.0,239.0,train,0.0031361991758724534,51.82874048992246,0.7030443412639769
240.0,240.0,train,0.003388337660129533,70.80070270801815,0.7306617609224577
241.0,241.0,train,0.002494815815230432,30.939144819645982,0.619345189902486
242.0,242.0,train,0.0032755597826590824,60.81122390750295,0.7186414919874632
243.0,243.0,train,0.003151808692657726,52.772943201836696,0.704833488991016
244.0,244.0,train,0.003460173433996406,76.96269007044532,0.7380491407647112
245.0,245.0,train,0.0028934328395286714,44.30414435943151,0.6737808904116807
246.0,246.0,train,0.003820854277299935,97.96822066800976,0.7721881316023156
247.0,247.0,train,0.0030141344276525873,48.742648766607644,0.6886742091527629
248.0,248.0,train,0.003677965298186187,95.3459677898774,0.7592306801095164
249.0,249.0,train,0.0025604801684874345,34.231499986774494,0.6289001559923659
250.0,250.0,train,0.003481366105949093,80.43146489462818,0.740189574915806
251.0,251.0,train,0.0027175940621740552,39.558066511675186,0.6507999882617097
252.0,252.0,train,0.0032301399335125107,58.537481740797475,0.7136502752230846
253.0,253.0,train,0.003396239159107235,72.15774410273428,0.7314844204801305
254.0,254.0,train,0.003110028893863056,50.89308514944583,0.7000203628401862
255.0,255.0,train,0.0020778774407437355,16.949320792546462,0.5526641266465657
256.0,256.0,train,0.0020778774407437355,16.949320792546462,0.5526641266465657
257.0,257.0,train,0.0034393833569918196,74.89483192383399,0.735932234556477
258.0,258.0,train,0.003550568474644274,91.36636203267743,0.7470578795643856
259.0,259.0,train,0.003215881450589365,55.960882959938345,0.7120652139260107
260.0,260.0,train,0.003546566593980003,88.88216145763379,0.7466656877725468
261.0,261.0,train,0.003557580237399737,91.72228111550834,0.7477435821288139
262.0,262.0,train,0.0033615169266351867,69.07559252093148,0.7278504937400005
263.0,263.0,train,0.003222318285242151,57.24717265785818,0.712781855843366
264.0,264.0,train,0.002229732443557359,19.721180748649196,0.5782050124034843
265.0,265.0,train,0.0016305962610898292,8.350909217969926,0.46809036895700384
266.0,266.0,train,0.003104214030250166,50.58235673316582,0.6993442845632648
267.0,267.0,train,0.0029071777731306645,45.17536001087029,0.6755121962122916
268.0,268.0,train,0.002706080742957451,38.47349340879121,0.6492400055150405
269.0,269.0,train,0.0027062547706793658,39.013675965776955,0.6492636369773823
270.0,270.0,train,0.001145829862601242,5.4920923025424635,0.35828143970018456
271.0,271.0,train,0.0030573728476341886,49.96220182793525,0.6938423192076804
272.0,272.0,train,0.0020778774407437355,16.949320792546462,0.5526641266465657
273.0,273.0,train,0.0023540883057289073,24.128289737839133,0.5980308708114908
274.0,274.0,train,0.0025935385063173048,34.49084079814279,0.63361939894897
275.0,275.0,train,0.0017311076381732288,10.378592495977399,0.48839090088188886
276.0,276.0,train,0.0027175940621740552,39.558066511675186,0.6507999882617097
277.0,277.0,train,0.0030018938417584844,48.44125663938301,0.687195361310637
278.0,278.0,train,0.0030018938417584844,48.44125663938301,0.687195361310637
279.0,279.0,train,0.0023106642339121744,21.090982988851945,0.5912160306410345
280.0,280.0,train,0.0020778774407437355,16.949320792546462,0.5526641266465657
281.0,281.0,train,8.980371084989802E-4,4.023667362882895,0.29367022295950573
282.0,282.0,train,0.0018017345312658273,10.914391256629777,0.5021903313320961
283.0,283.0,train,0.0011660492149523295,5.70005302624675,0.36328512382439504
284.0,284.0,train,0.0032341064038152916,58.86060680371241,0.7140896592893711
285.0,285.0,train,0.0029904134280257398,47.84087290510585,0.6858019704573131
286.0,286.0,train,0.0038201697204530735,97.58569295396073,0.7721277478422788
287.0,287.0,train,0.0034783984722240023,79.38966218027997,0.7398909038746158
288.0,288.0,train,0.0033540403202306506,67.76620486502257,0.7270616018306512
289.0,289.0,train,0.003522628222730292,83.93775765074754,0.7443069516506182
290.0,290.0,train,0.002371223593072104,25.3134226604294,0.6006886634605758
